Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7246551324612925,0
race,African-American,0.7402017060866977,0
race,Other,0.8163863163863163,0
sex,male,0.7261529137169191,0
sex,female,0.7339672374946329,0
race,Caucasian,0.7262370635265168,1
race,African-American,0.7114106674438939,1
race,Other,0.7399699387212395,1
sex,male,0.7240912076431257,1
sex,female,0.7295788336634128,1
race,African-American,0.7325573563049662,2
race,Caucasian,0.726595413349864,2
race,Other,0.7551498609537542,2
sex,male,0.7280701814222401,2
sex,female,0.730892369244654,2
race,Caucasian,0.7273566608240158,3
race,African-American,0.7294100966219071,3
race,Other,0.8673286991062562,3
sex,male,0.7282951458652105,3
sex,female,0.7321647306945545,3
race,Caucasian,0.7253350484152403,4
race,Other,0.8030189620758483,4
race,African-American,0.7510036510791012,4
sex,female,0.7271897505252372,4
sex,male,0.7320370630380176,4
