Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7293640332019806,0
race,African-American,0.7520788049794568,0
race,Other,0.7753260253260252,0
sex,male,0.7299211117663704,0
sex,female,0.7419469068974835,0
race,Caucasian,0.7296596854942877,1
race,African-American,0.7179494266274034,1
race,Other,0.7238120013874436,1
sex,male,0.7269123138223007,1
sex,female,0.7345551122201416,1
race,African-American,0.7372362827056828,2
race,Caucasian,0.7301806284617629,2
race,Other,0.7584715212689257,2
sex,male,0.7319329877281825,2
sex,female,0.7350517872033703,2
race,Caucasian,0.7275297616980269,3
race,African-American,0.7399634223626445,3
race,Other,0.8197616683217478,3
sex,male,0.7286134008801086,3
sex,female,0.7375989934740181,3
race,Caucasian,0.7261279511624419,4
race,Other,0.8400074850299402,4
race,African-American,0.7615289425422431,4
sex,female,0.7369387897805183,4
sex,male,0.7312868797476041,4
