Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6741768798431012,0
race,African-American,0.6922713617100694,0
race,Other,0.7296814044213263,0
sex,male,0.6756452625619317,0
sex,female,0.6853169033510158,0
race,Caucasian,0.6797964151543713,1
race,Other,0.7149874581939799,1
race,African-American,0.679574602601156,1
sex,male,0.6789690982233326,1
sex,female,0.6851764741131352,1
race,Caucasian,0.6820403345568967,2
race,African-American,0.6922476860508601,2
race,Other,0.6838572055963359,2
sex,male,0.6782851640877176,2
sex,female,0.702865261071848,2
race,Caucasian,0.6826394912712397,3
race,African-American,0.7061421532768192,3
race,Other,0.7341405688686024,3
sex,female,0.696459432772412,3
sex,male,0.6839480778727672,3
race,African-American,0.6961490572256432,4
race,Caucasian,0.6721540602212023,4
race,Other,0.8020907578997387,4
sex,male,0.6746028182400697,4
sex,female,0.6860232839514617,4
