Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7073445852810609,0
race,Caucasian,0.6991339742363682,0
race,Other,0.8020026702269694,0
sex,male,0.6974331752931946,0
sex,female,0.7112047100685297,0
race,Caucasian,0.7047927519634427,1
race,Other,0.8644204711277882,1
race,African-American,0.7490092539850637,1
sex,male,0.7130772732948685,1
sex,female,0.7141214869889719,1
race,African-American,0.7424640262677726,2
race,Caucasian,0.7140432861203099,2
race,Other,0.7456461686283931,2
sex,male,0.7143428047206093,2
sex,female,0.7308857290402073,2
race,Caucasian,0.7149576402164096,3
race,African-American,0.7378370560142069,3
race,Other,0.7289127837514935,3
sex,male,0.7153224936174709,3
sex,female,0.728866455646618,3
race,Caucasian,0.717313514582186,4
race,Other,0.7320389376785525,4
race,African-American,0.716329468991784,4
sex,female,0.7311824878089965,4
sex,male,0.7124564191388152,4
