Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7235132726548928,0
race,Caucasian,0.7362138850948085,0
race,Other,0.6195643453145058,0
sex,male,0.7354263673095871,0
sex,female,0.7319218520610515,0
race,Caucasian,0.7318867126305374,1
race,African-American,0.7229563103892096,1
race,Other,0.6757904454188783,1
sex,female,0.7331252906112786,1
sex,male,0.728793358057495,1
race,African-American,0.7156333042961883,2
race,Caucasian,0.7280306160263754,2
race,Other,0.7045034198771636,2
sex,male,0.7270006616035298,2
sex,female,0.7197720796510009,2
race,Other,0.6565918249856073,3
race,Caucasian,0.7326523255468733,3
race,African-American,0.7277302490966346,3
sex,female,0.7220130524987625,3
sex,male,0.7357963742311426,3
race,Caucasian,0.7302348053458491,4
race,African-American,0.7139763837830357,4
race,Other,0.6568237205523965,4
sex,female,0.7276641043240544,4
sex,male,0.7265264819898358,4
