Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7735083719359197,0
race,Caucasian,0.7714655295877242,0
race,Other,0.7826239569961488,0
sex,male,0.7756537787732289,0
sex,female,0.7655420570718231,0
race,Caucasian,0.7695026950863533,1
race,African-American,0.7667808186723006,1
race,Other,0.7989960766212785,1
sex,female,0.7641809851765929,1
sex,male,0.7718369943301039,1
race,African-American,0.7706560163417243,2
race,Caucasian,0.7689994866223685,2
race,Other,0.8024235762144054,2
sex,male,0.7745482979893588,2
sex,female,0.7575731030188928,2
race,Other,0.8097847748106816,3
race,Caucasian,0.7677170108268655,3
race,African-American,0.7613084488147165,3
sex,female,0.7598440298747252,3
sex,male,0.7705437712645301,3
race,Caucasian,0.7718620797349236,4
race,African-American,0.7696072723819452,4
race,Other,0.7645816409423233,4
sex,female,0.7719818013874968,4
sex,male,0.7719899701376267,4
