Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7331834584905867,0
race,African-American,0.7270322308911129,0
race,Other,0.7511317643531705,0
sex,male,0.735544162406712,0
sex,female,0.7258742383253108,0
race,African-American,0.7228082567703168,1
race,Other,0.6566752682330571,1
race,Caucasian,0.726688351963397,1
sex,male,0.7260610372946025,1
sex,female,0.7256009785494242,1
race,African-American,0.7471870523624073,2
race,Caucasian,0.7358249830341805,2
race,Other,0.7321564804611341,2
sex,male,0.7453487104530426,2
sex,female,0.7222337790312221,2
race,Caucasian,0.7427279752276159,3
race,African-American,0.7437455072271435,3
race,Other,0.7863948170731707,3
sex,male,0.750766528901311,3
sex,female,0.7255808147585817,3
race,Caucasian,0.7366048585940024,4
race,African-American,0.7374386643666377,4
race,Other,0.6860732984293194,4
sex,female,0.7307434491048413,4
sex,male,0.7397715772519156,4
