Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7378942440093421,0
race,African-American,0.7287154827633758,0
race,Other,0.6382644980506822,0
sex,male,0.7396145388693414,0
sex,female,0.7293810791936621,0
race,Caucasian,0.7453713398721705,1
race,African-American,0.727720583463136,1
race,Other,0.6940821135782801,1
sex,male,0.7460629002162403,1
sex,female,0.7363085679801538,1
race,African-American,0.7271809325104612,2
race,Caucasian,0.7398511707964145,2
race,Other,0.7126798236102074,2
sex,male,0.7433888428612596,2
sex,female,0.7284823240612524,2
race,Caucasian,0.7389512644315847,3
race,African-American,0.7379764903410835,3
race,Other,0.7037101945969805,3
sex,male,0.7455012161714438,3
sex,female,0.7263126072523948,3
race,Caucasian,0.7455661798847893,4
race,Other,0.7118035142726501,4
race,African-American,0.7350549914836106,4
sex,female,0.7365661664634382,4
sex,male,0.7481972305356229,4
