Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7069013742226533,0
race,Other,0.6216346697071482,0
race,African-American,0.704499116013036,0
sex,male,0.7120556905632911,0
sex,female,0.6944250435066791,0
race,African-American,0.7095778220183412,1
race,Caucasian,0.7126250703776729,1
race,Other,0.5944630192502534,1
sex,male,0.7157973869697163,1
sex,female,0.7046252005411457,1
race,African-American,0.7074603895448581,2
race,Caucasian,0.7084952445668149,2
race,Other,0.6477151100563079,2
sex,male,0.7123807438913526,2
sex,female,0.7020893908751137,2
race,Caucasian,0.7046626487703399,3
race,African-American,0.7087685963119903,3
race,Other,0.5911771934136151,3
sex,female,0.6955530415240492,3
sex,male,0.7105424943505887,3
race,Caucasian,0.7068861789072598,4
race,African-American,0.6925839561653142,4
race,Other,0.6427402015898378,4
sex,female,0.6974242353403117,4
sex,male,0.7083580874216965,4
