Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6876089992092584,0
race,Caucasian,0.7000417714190057,0
race,Other,0.6359817729908865,0
sex,male,0.6971561358199465,0
sex,female,0.7041269408482523,0
race,Caucasian,0.7096395973786196,1
race,African-American,0.694403459606448,1
race,Other,0.6326461870115871,1
sex,female,0.7180949883512328,1
sex,male,0.7042557968442303,1
race,African-American,0.6912989014814057,2
race,Caucasian,0.6995786092417203,2
race,Other,0.6830802828618969,2
sex,male,0.69841999074488,2
sex,female,0.7019931791973149,2
race,Other,0.715474256789937,3
race,Caucasian,0.7078584245862805,3
race,African-American,0.695482576144226,3
sex,female,0.7097344693267312,3
sex,male,0.7056948275298807,3
race,Caucasian,0.7021903744219916,4
race,African-American,0.6809281571394246,4
race,Other,0.619494232475599,4
sex,female,0.7078420622408629,4
sex,male,0.695481673066389,4
