Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7207020910257528,0
race,Caucasian,0.7258841092788981,0
race,Other,0.675642087821044,0
sex,male,0.7290208303615819,0
sex,female,0.7221528464151414,0
race,Caucasian,0.7404767032481177,1
race,African-American,0.7278355722833965,1
race,Other,0.6649263451001527,1
sex,female,0.7444980228646827,1
sex,male,0.7382166883375071,1
race,African-American,0.7264193559641632,2
race,Caucasian,0.7291330293065308,2
race,Other,0.7269862728785357,2
sex,male,0.7336551774055752,2
sex,female,0.7235555034380121,2
race,Other,0.7454765232501039,3
race,Caucasian,0.7379023232740292,3
race,African-American,0.7397432536447013,3
sex,female,0.7308069911873469,3
sex,male,0.7436681258506586,3
race,Caucasian,0.7343760776106456,4
race,African-American,0.7221074037678158,4
race,Other,0.6203105590062112,4
sex,female,0.7300715570294762,4
sex,male,0.7343038164871714,4
