Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.6983910436344203,0
race,Other,0.6735750059623182,0
race,African-American,0.6917945061331092,0
sex,male,0.6979535474787304,0
sex,female,0.7021045063507237,0
race,African-American,0.6957783032811709,1
race,Caucasian,0.69962627939929,1
race,Other,0.7082109026650503,1
sex,male,0.7012037729821345,1
sex,female,0.6983375889797687,1
race,African-American,0.6919301789512413,2
race,Caucasian,0.7017885493298361,2
race,Other,0.6545333801122695,2
sex,male,0.7011671191214816,2
sex,female,0.7006451305246912,2
race,Caucasian,0.698782680252062,3
race,Other,0.6955560696018712,3
race,African-American,0.6873230062278359,3
sex,female,0.6939850205290283,3
sex,male,0.6999122389331884,3
race,Caucasian,0.7075081880367331,4
race,African-American,0.6794103431165159,4
race,Other,0.6343426002385539,4
sex,female,0.702417806623016,4
sex,male,0.7044093727006389,4
