Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7164217790840421,0
race,African-American,0.7117169769268865,0
race,Other,0.6089867557430849,0
sex,male,0.7191053371433249,0
sex,female,0.7112280551879138,0
race,Caucasian,0.7220221487407735,1
race,African-American,0.7067157188348099,1
race,Other,0.655399434429127,1
sex,male,0.723308267345151,1
sex,female,0.7146231546076316,1
race,African-American,0.7091934020333608,2
race,Caucasian,0.7222883366640348,2
race,Other,0.7574765063571034,2
sex,male,0.7240959618173155,2
sex,female,0.7182780512260776,2
race,Caucasian,0.7190391976235848,3
race,African-American,0.7148411832962854,3
race,Other,0.7240090722540231,3
sex,male,0.7231089459209123,3
sex,female,0.713189058947213,3
race,Caucasian,0.7201034235080018,4
race,Other,0.7216547497446374,4
race,African-American,0.725312532912059,4
sex,female,0.7140502164907654,4
sex,male,0.7260018850377458,4
