Attribute,Attribute Value,AUC,fold_num
race,African-American,0.665532744818255,0
race,Caucasian,0.7125264704794998,0
race,Other,0.5865048118985128,0
sex,male,0.7127590638054696,0
sex,female,0.7048443354643985,0
race,Caucasian,0.7182519299929754,1
race,Other,0.6306843267108168,1
race,African-American,0.7060211171455444,1
sex,male,0.7316855523617178,1
sex,female,0.7038332351102868,1
race,African-American,0.6816271973396084,2
race,Caucasian,0.7148830315746144,2
race,Other,0.7383219954648526,2
sex,male,0.7147751456492653,2
sex,female,0.7185099429964305,2
race,Caucasian,0.71713930213631,3
race,African-American,0.6781954610872962,3
race,Other,0.6751568381430364,3
sex,male,0.7179434598370862,3
sex,female,0.7174740597523672,3
race,Caucasian,0.7121823866819466,4
race,Other,0.7603255413738707,4
race,African-American,0.6785988980802737,4
sex,female,0.7084000890614186,4
sex,male,0.714894398443164,4
