Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7798455840644062,0
race,Caucasian,0.7848469512749098,0
race,Other,0.826383319967923,0
sex,male,0.7981476631917058,0
sex,female,0.7614505789398165,0
race,Caucasian,0.7891933949360752,1
race,African-American,0.7862009522776124,1
race,Other,0.9215909090909091,1
sex,female,0.7826273943489386,1
sex,male,0.7957048327059338,1
race,African-American,0.7945562988565954,2
race,Caucasian,0.7845360720046819,2
race,Other,0.7885146103896105,2
sex,male,0.8050484831532562,2
sex,female,0.7551424158143158,2
race,Other,0.929957805907173,3
race,Caucasian,0.7837287248677072,3
race,African-American,0.80449430375338,3
sex,female,0.7716249480955363,3
sex,male,0.7984733848703514,3
race,Caucasian,0.7943532245486933,4
race,African-American,0.7891293309626035,4
race,Other,0.9349570524412296,4
sex,female,0.7850143486055929,4
sex,male,0.8010412425155506,4
