Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7790239929082701,0
race,Caucasian,0.7777721539958515,0
race,Other,0.8211395450568678,0
sex,male,0.7851041588075254,0
sex,female,0.7644956078067277,0
race,Caucasian,0.7796706477194085,1
race,Other,0.9041942604856512,1
race,African-American,0.8006049603716403,1
sex,male,0.7967456492830645,1
sex,female,0.7566375115853913,1
race,African-American,0.7918523310487062,2
race,Caucasian,0.7814116720532868,2
race,Other,0.8643990929705215,2
sex,male,0.798656141176138,2
sex,female,0.7519560559681995,2
race,Caucasian,0.7846169388404125,3
race,African-American,0.790245032420805,3
race,Other,0.8202007528230867,3
sex,male,0.7934762334296674,3
sex,female,0.7690453678875335,3
race,Caucasian,0.7818922227449456,4
race,Other,0.8813279793489173,4
race,African-American,0.7793476820094773,4
sex,female,0.7501878798516629,4
sex,male,0.7970894733515854,4
