Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7730529310673586,0
race,Caucasian,0.7508114105343261,0
race,Other,0.6796427367711492,0
sex,male,0.7655216063693174,0
sex,female,0.7337661706363673,0
race,Caucasian,0.7594846156267937,1
race,Other,0.9221068249258161,1
race,African-American,0.7905125441746951,1
sex,male,0.7750703995868337,1
sex,female,0.7475852205425806,1
race,African-American,0.7306308401652248,2
race,Caucasian,0.7552803684980982,2
race,Other,0.9242347796838211,2
sex,male,0.7564301626892376,2
sex,female,0.7427960731363974,2
race,Caucasian,0.7541780758632646,3
race,African-American,0.7716087129841543,3
race,Other,0.8082744702320888,3
sex,female,0.7445152222176541,3
sex,male,0.7640771725257505,3
race,Caucasian,0.7588282302965892,4
race,African-American,0.7763574302064049,4
race,Other,0.8505802707930368,4
sex,female,0.7373952004915488,4
sex,male,0.7755984779673125,4
