Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7673869366759849,0
race,Caucasian,0.7765957215715289,0
race,Other,0.8554790026246719,0
sex,male,0.7821305779449546,0
sex,female,0.7639128274385222,0
race,Caucasian,0.777661292429989,1
race,Other,0.9058130978660781,1
race,African-American,0.7979895476197699,1
sex,male,0.7941741474170232,1
sex,female,0.7554738106429599,1
race,African-American,0.7882778250630885,2
race,Caucasian,0.7812046317787724,2
race,Other,0.8556689342403628,2
sex,male,0.7966887182052411,2
sex,female,0.7535439830886337,2
race,Caucasian,0.7807993006621752,3
race,African-American,0.7889966089694981,3
race,Other,0.8373902132998745,3
sex,male,0.7904695946287168,3
sex,female,0.7657697229783049,3
race,Caucasian,0.7811144306935419,4
race,Other,0.8874587695396529,4
race,African-American,0.7759602119425215,4
sex,female,0.7535438598189576,4
sex,male,0.7940734315974739,4
