Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.738966074408399,0
race,African-American,0.7348255080607616,0
race,Other,0.7724936933570028,0
sex,male,0.7375036429259416,0
sex,female,0.7011451601020262,0
race,Caucasian,0.7380760383784749,1
race,African-American,0.7253828840505351,1
race,Other,0.8736037624926514,1
sex,male,0.7276306737717314,1
sex,female,0.7466759295838903,1
race,African-American,0.7440027722089112,2
race,Caucasian,0.7409061385679313,2
race,Other,0.7578592293782167,2
sex,male,0.73778830606843,2
sex,female,0.7428396605051752,2
race,Caucasian,0.7469778797231765,3
race,African-American,0.7100675432946015,3
race,Other,0.7073874755381605,3
sex,male,0.7357240726069805,3
sex,female,0.7230789819226081,3
race,Caucasian,0.7391372836354797,4
race,Other,0.8862667977712225,4
race,African-American,0.7209427069794313,4
sex,female,0.7310687706007861,4
sex,male,0.7315138009789689,4
