Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.7706724886488443,0
race,African-American,0.7660056395556566,0
race,Other,0.7531533214986453,0
sex,male,0.7632971709530924,0
sex,female,0.7240507438570818,0
race,Caucasian,0.7502442102215782,1
race,African-American,0.7648368798637045,1
race,Other,0.7526455026455027,1
sex,male,0.7476174805055525,1
sex,female,0.7086946564138568,1
race,African-American,0.766634951292792,2
race,Caucasian,0.7590682904855361,2
race,Other,0.8264014466546112,2
sex,male,0.7533301624243474,2
sex,female,0.7443507556383504,2
race,Caucasian,0.7626561708457678,3
race,African-American,0.7588159329088521,3
race,Other,0.8042074363992173,3
sex,male,0.7579541810489664,3
sex,female,0.723818168077864,3
race,Caucasian,0.7584842572515249,4
race,Other,0.9330820496012237,4
race,African-American,0.7484164793685274,4
sex,female,0.7264831657822911,4
sex,male,0.7543271993508258,4
