Attribute,Attribute Value,AUC,fold_num
race,Caucasian,0.780391690220821,0
race,African-American,0.772647207695889,0
race,Other,0.7315705876856955,0
sex,male,0.7743687937995083,0
sex,female,0.7383346797959474,0
race,Caucasian,0.7664353939872607,1
race,African-American,0.7835576618821432,1
race,Other,0.7770429159318049,1
sex,male,0.7658791463991472,1
sex,female,0.7367170195096118,1
race,African-American,0.7799148302989802,2
race,Caucasian,0.7678899677355816,2
race,Other,0.7944776742245097,2
sex,male,0.7597856336014226,2
sex,female,0.7670389707304186,2
race,Caucasian,0.7732928243746933,3
race,African-American,0.7775481257587394,3
race,Other,0.8308708414872799,3
sex,male,0.7698907269136919,3
sex,female,0.7459721832992736,3
race,Caucasian,0.7664256361322987,4
race,Other,0.8509778214792963,4
race,African-American,0.7591027637306749,4
sex,female,0.7409217285164528,4
sex,male,0.7639636193166639,4
