Attribute,Attribute Value,AUC,fold_num
race,African-American,0.764014386845222,0
race,Caucasian,0.7554562021357483,0
race,Other,0.8461621041331187,0
sex,male,0.7578349351791909,0
sex,female,0.7198142967079565,0
race,Caucasian,0.7735079249257131,1
race,African-American,0.7643196585081862,1
race,Other,0.6602347099977431,1
sex,female,0.7719317546921236,1
sex,male,0.7598666800302777,1
race,African-American,0.783522140023707,2
race,Caucasian,0.7517366174541543,2
race,Other,0.8140422077922078,2
sex,male,0.7574366036932315,2
sex,female,0.717768648168494,2
race,Other,0.8851755327303388,3
race,Caucasian,0.7595073671713627,3
race,African-American,0.7723334961732616,3
sex,female,0.7242383288766893,3
sex,male,0.7601983302518679,3
race,Caucasian,0.7768776134138136,4
race,African-American,0.7437971097853294,4
race,Other,0.6540231844527787,4
sex,female,0.7483480663826928,4
sex,male,0.7587766585668747,4
