Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0,0.00016926201760324982,1.0,0.9770095931194178,138.0,6046,0
race,African-American,,0.0,1.0,0.9768955418158152,inf,6146,1
race,African-American,0.0,0.00016722408026755852,1.0,0.9771204445170779,139.0,6119,2
race,African-American,0.0,0.000504965494024575,1.0,0.9752011824601741,49.333333333333336,6089,3
race,African-American,,0.0,1.0,0.974784447698064,inf,6147,4
race,Caucasian,0.3333333333333333,0.00014559749572307356,0.998001998001998,0.9647748823488095,249.75,28474,0
race,Caucasian,,0.0,1.0,0.9647676426029665,inf,28383,1
race,Caucasian,0.125,0.00025464731347084286,0.9989339019189766,0.966792134238576,133.85714285714286,28427,2
race,Caucasian,0.0,0.00014586296174743827,1.0,0.9653897612844166,244.75,28402,3
race,Caucasian,,0.0,1.0,0.96618884936428,inf,28393,4
race,Other,,0.0,1.0,0.9896640826873385,inf,774,0
race,Other,,0.0,1.0,0.9921465968586387,inf,764,1
race,Other,,0.0,1.0,0.9879518072289156,inf,747,2
race,Other,,0.0,1.0,0.9887780548628429,inf,802,3
race,Other,,0.0,1.0,0.9907038512616202,inf,753,4
sex,female,0.0,0.0001915892326851231,1.0,0.9677329624478442,173.0,10785,0
sex,female,,0.0,1.0,0.9727214081651461,inf,10851,1
sex,female,0.2,0.00038208042793007926,0.9968354430379747,0.9704218822438572,78.75,10785,2
sex,female,0.0,9.63948332369385e-05,1.0,0.969076980568012,330.0,10704,3
sex,female,,0.0,1.0,0.971262779773418,inf,10857,4
sex,male,0.4,0.00012653956470389742,0.9975031210986267,0.9672773266963156,266.3333333333333,24509,0
sex,male,,0.0,1.0,0.9651419687423288,inf,24442,1
sex,male,0.0,0.00016850619260257814,1.0,0.9684184755998041,192.5,24508,2
sex,male,0.0,0.00025228104107976283,1.0,0.9669771035829029,134.33333333333334,24589,3
sex,male,,0.0,1.0,0.9668521853003765,inf,24436,4
