Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0265282583621684,0.8571428571428571,0.007194244604316547,0.16239457582272201,0.00019747235387045813,6047,0
race,African-American,0.02464183381088825,0.8428524265434136,0.015267175572519083,0.17466472774276942,0.0003916960438699569,6189,1
race,African-American,0.02834763148079075,0.8658800066478312,0.02564102564102564,0.15535396079701927,0.0007677543186180423,6173,2
race,African-American,0.027757619738751814,0.9069216449483838,0.03164556962025317,0.11587275424427229,0.000933009889904833,6067,3
race,African-American,0.02602158828064765,0.8516770605090174,0.021739130434782608,0.16718827211332565,0.0005937067088858105,6071,4
race,Caucasian,0.03717922812689432,0.8649168663326798,0.02023429179978701,0.16292785676671934,0.0007974816369359916,28485,0
race,Caucasian,0.04070752572632971,0.8490745482478601,0.028599605522682446,0.18026946952595937,0.0012493537825262796,28352,1
race,Caucasian,0.03836111669009842,0.8747761903021888,0.01748971193415638,0.1546278979498218,0.0007101086048454469,28339,2
race,Caucasian,0.03603185649114668,0.907416842564961,0.01166489925768823,0.12230393019246331,0.0004411646747413171,28421,3
race,Caucasian,0.040635025088426424,0.8490827023878859,0.02178217821782178,0.1802541956323292,0.0009431535625482294,28482,4
race,Other,0.017133956386292833,0.8413333333333334,0.08333333333333333,0.17060367454068243,0.001584786053882726,762,0
race,Other,0.011570247933884297,0.8026845637583893,0.0,0.2047872340425532,0.0,752,1
race,Other,0.011577424023154847,0.8835705045278137,0.0,0.12548015364916773,0.0,781,2
race,Other,0.008185538881309686,0.9098873591989988,0.0,0.0968944099378882,0.0,805,3
race,Other,0.00966183574879227,0.837874659400545,0.0,0.16891891891891891,0.0,740,4
sex,female,0.03391343150379295,0.8199981062399394,0.0379746835443038,0.2027213386043946,0.0013856812933025404,10877,0
sex,female,0.03546099290780142,0.8065812129328487,0.02821316614420063,0.2164670936600761,0.0010673624288425048,10773,1
sex,female,0.0353356890459364,0.8310502283105022,0.024390243902439025,0.19335793357933578,0.0009157509157509158,10840,2
sex,female,0.03404029692470838,0.8801816600637743,0.0243161094224924,0.14618842479865143,0.000878252277966846,10678,3
sex,female,0.03468872042269699,0.7999238530363602,0.01948051948051948,0.22230442019604216,0.0007139457401237506,10814,4
sex,male,0.035375722543352604,0.882290741445671,0.011627906976744186,0.14530859646967276,0.00043144774688398847,24417,0
sex,male,0.038084057290443764,0.8647781483514164,0.026410564225690276,0.16370309951060358,0.001074008982620582,24520,1
sex,male,0.036314635483281565,0.8922393740748573,0.01608910891089109,0.13671124197439988,0.0006162013556429824,24453,2
sex,male,0.03394912040915304,0.9192012417670009,0.010282776349614395,0.10952671135486491,0.0003651134133540231,24615,3
sex,male,0.038614184993229675,0.871239368679389,0.022458628841607566,0.15809469341067853,0.0009227780475959203,24479,4
