Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.2857142857142857,0.0008691117677733357,0.9931740614334471,0.9510420112471055,58.2,6046,0
race,African-American,0.42857142857142855,0.0006842285323297981,0.99,0.9510250569476082,74.25,6146,1
race,African-American,0.5,0.0005195704883962591,0.991304347826087,0.9436182382742279,114.0,6119,2
race,African-American,0.6666666666666666,0.0003466204506065858,0.987460815047022,0.947938906224339,157.5,6089,3
race,African-American,0.4,0.0010335917312661498,0.9883040935672515,0.9440377419879616,56.333333333333336,6147,4
race,Caucasian,0.35294117647058826,0.0004076036610219735,0.995965030262273,0.9476013205029149,134.63636363636363,28474,0
race,Caucasian,0.23529411764705882,0.0004844239081830377,0.9974143503555268,0.945178451890216,118.6923076923077,28383,1
race,Caucasian,0.2916666666666667,0.0006305871879520754,0.9952316076294278,0.9480071762760756,85.94117647058823,28427,2
race,Caucasian,0.48,0.0004831995242343146,0.9919893190921228,0.9472220266178438,114.3076923076923,28402,3
race,Caucasian,0.47058823529411764,0.00033396415451408216,0.9944598337950139,0.9491071743035255,159.55555555555554,28393,4
race,Other,,0.0,1.0,0.9819121447028424,inf,774,0
race,Other,,0.0,1.0,0.9698952879581152,inf,764,1
race,Other,,0.0,1.0,0.9879518072289156,inf,747,2
race,Other,,0.0,1.0,0.9850374064837906,inf,802,3
race,Other,,0.0,1.0,0.9800796812749004,inf,753,4
sex,female,0.3333333333333333,0.00019440124416796267,0.9979879275653923,0.9538247566063978,248.0,10785,0
sex,female,0.0,0.0004829051574270813,1.0,0.9537369827665653,99.4,10851,1
sex,female,0.2857142857142857,0.0004855783237836263,0.9959016393442623,0.9544738062123319,97.2,10785,2
sex,female,0.6,0.00019529342837613513,0.9935205183585313,0.9568385650224215,230.0,10704,3
sex,female,0.3333333333333333,0.00019308746862328635,0.9979959919839679,0.9539467624574007,249.0,10857,4
sex,male,0.3333333333333333,0.0006031363088057901,0.9946029298380878,0.9467950548778,92.14285714285714,24509,0
sex,male,0.3684210526315789,0.0005201785946508301,0.9949016751638747,0.9436216348907618,113.83333333333333,24442,1
sex,male,0.34782608695652173,0.0006472771209113662,0.9940029985007496,0.9452831728415212,88.4,24508,2
sex,male,0.5,0.0005597898634973948,0.9904831625183016,0.944446703810647,104.07692307692308,24589,3
sex,male,0.4583333333333333,0.0005619434598426558,0.9915514592933948,0.9466361106564086,99.3076923076923,24436,4
