Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5522388059701493,0.005642279480910287,0.9492455418381345,0.8805822031094939,23.066666666666666,6046,0
race,African-American,0.4722222222222222,0.010549694614103275,0.9313593539703903,0.878132118451025,12.140350877192983,6146,1
race,African-American,0.45098039215686275,0.010512483574244415,0.9419191919191919,0.868932832162118,13.321428571428571,6119,2
race,African-American,0.5256410256410257,0.006906850849355983,0.9439890710382514,0.880440137953687,18.675675675675677,6089,3
race,African-American,0.49404761904761907,0.015808071415287336,0.8922077922077922,0.8744102814380998,8.08235294117647,6147,4
race,Caucasian,0.5456989247311828,0.006750818886314612,0.9409883720930232,0.8803821029711315,19.153846153846153,28474,0
race,Caucasian,0.5171717171717172,0.009640595377354686,0.9287305122494433,0.8740443223056055,13.9581589958159,28383,1
race,Caucasian,0.5185185185185185,0.0072960513128883546,0.9437105112004595,0.8780033067154466,18.054945054945055,28427,2
race,Caucasian,0.5804988662131519,0.007466602090648585,0.9293793103448276,0.8748679670445744,18.21081081081081,28402,3
race,Caucasian,0.4949748743718593,0.016157556270096463,0.887845146598349,0.8759905610537808,7.758706467661692,28393,4
race,Other,1.0,0.0,0.9523809523809523,0.9483204134366925,inf,774,0
race,Other,0.3333333333333333,0.005578800557880056,0.9574468085106383,0.9358638743455497,11.25,764,1
race,Other,0.0,0.004213483146067416,1.0,0.9491298527443106,11.666666666666666,747,2
race,Other,,0.0,1.0,0.9413965087281796,inf,802,3
race,Other,0.6,0.002844950213371266,0.94,0.9349269588313412,23.5,753,4
sex,female,0.5403225806451613,0.005939356048765239,0.9436026936026936,0.8907742234585072,19.666666666666668,10785,0
sex,female,0.46153846153846156,0.008725459644749143,0.9411764705882353,0.8860934476085154,13.714285714285714,10851,1
sex,female,0.488,0.006698764915218757,0.950446791226645,0.8855818266110338,18.28125,10785,2
sex,female,0.5217391304347826,0.006964229186451409,0.941320293398533,0.8859304932735426,17.5,10704,3
sex,female,0.48028673835125446,0.015159435441714584,0.8962848297213623,0.8799852629639864,7.9862068965517246,10857,4
sex,male,0.5520504731861199,0.006608954668156008,0.9421104862719153,0.8780039985311519,20.056338028169016,24509,0
sex,male,0.5231788079470199,0.010148468333020109,0.9249525015832806,0.8716553473529172,13.523148148148149,24442,1
sex,male,0.505586592178771,0.008259449370041997,0.9411955815464588,0.8745715684674392,16.36723163841808,24508,2
sex,male,0.5905511811023622,0.007285634223799738,0.9291784702549575,0.8736020171621457,18.923076923076923,24589,3
sex,male,0.5014492753623189,0.016078523019397054,0.8862216376192042,0.8756343100343755,7.834302325581396,24436,4
