Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.8781213825037208,inf,6047,0
race,African-American,,0.0,1.0,0.8826951042171595,inf,6189,1
race,African-American,,0.0,1.0,0.8772071926129921,inf,6173,2
race,African-American,,0.0,1.0,0.8732487225976595,inf,6067,3
race,African-American,,0.0,1.0,0.8721792126503047,inf,6071,4
race,Caucasian,,0.0,1.0,0.8780761804458487,inf,28485,0
race,Caucasian,,0.0,1.0,0.8739418735891648,inf,28352,1
race,Caucasian,,0.0,1.0,0.8740251949610078,inf,28339,2
race,Caucasian,,0.0,1.0,0.8756905105379825,inf,28421,3
race,Caucasian,,0.0,1.0,0.877045151323643,inf,28482,4
race,Other,,0.0,1.0,0.9291338582677166,inf,762,0
race,Other,,0.0,1.0,0.9468085106382979,inf,752,1
race,Other,,0.0,1.0,0.9372599231754162,inf,781,2
race,Other,,0.0,1.0,0.9540372670807453,inf,805,3
race,Other,,0.0,1.0,0.9445945945945946,inf,740,4
sex,female,,0.0,1.0,0.8883883423738164,inf,10877,0
sex,female,,0.0,1.0,0.8853615520282186,inf,10773,1
sex,female,,0.0,1.0,0.8812730627306273,inf,10840,2
sex,female,,0.0,1.0,0.8841543360179809,inf,10678,3
sex,female,,0.0,1.0,0.8900499352690956,inf,10814,4
sex,male,,0.0,1.0,0.8750870295286071,inf,24417,0
sex,male,,0.0,1.0,0.87336867862969,inf,24520,1
sex,male,,0.0,1.0,0.8736351367930315,inf,24453,2
sex,male,,0.0,1.0,0.8739792809262644,inf,24615,3
sex,male,,0.0,1.0,0.8721352996445934,inf,24479,4
