Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.46153846153846156,0.0012544802867383513,0.9871244635193133,0.9227588488256698,65.71428571428571,6046,0
race,African-American,0.6666666666666666,0.0007080899274207824,0.9839034205231388,0.9197852261633582,122.25,6146,1
race,African-American,0.6428571428571429,0.0008958967926894822,0.983271375464684,0.9127308383722831,105.8,6119,2
race,African-American,0.36363636363636365,0.0012522361359570662,0.9919839679358717,0.9175562489735589,70.71428571428571,6089,3
race,African-American,0.35,0.0023066004258339248,0.9863013698630136,0.9158939319993493,38.76923076923077,6147,4
race,Caucasian,0.5692307692307692,0.0010719754977029097,0.9842820730671198,0.9176441666081337,82.75,28474,0
race,Caucasian,0.29411764705882354,0.0013858413211687262,0.9937655860349127,0.9144910685973998,66.41666666666667,28383,1
race,Caucasian,0.4788732394366197,0.001417461594452745,0.9853700516351118,0.9181412037851339,61.891891891891895,28427,2
race,Caucasian,0.5645161290322581,0.0010408635312259059,0.9857839155158408,0.9135976339694388,89.88888888888889,28402,3
race,Caucasian,0.4316546762589928,0.003034260255031495,0.9745439117522274,0.9163174021765929,29.075949367088608,28393,4
race,Other,1.0,0.0,0.9583333333333334,0.9702842377260982,inf,774,0
race,Other,0.0,0.001336898395721925,1.0,0.9777486910994765,16.0,764,1
race,Other,0.0,0.0054869684499314125,1.0,0.9705488621151271,4.5,747,2
race,Other,,0.0,1.0,0.9750623441396509,inf,802,3
race,Other,0.0,0.0013736263736263737,1.0,0.9654714475431607,25.0,753,4
sex,female,0.4666666666666667,0.0008008809690659726,0.9912060301507538,0.9261010662957812,98.625,10785,0
sex,female,0.15789473684210525,0.0015906153693210062,0.9962121212121212,0.925813289097779,49.3125,10851,1
sex,female,0.4,0.0012050612572805785,0.9903264812575574,0.9229485396383866,68.25,10785,2
sex,female,0.46153846153846156,0.0007080004045716598,0.99265605875153,0.9235799701046338,115.85714285714286,10704,3
sex,female,0.32558139534883723,0.0028881585499452244,0.9828431372549019,0.9234595192042001,27.655172413793103,10857,4
sex,male,0.578125,0.0012020836115934285,0.98193359375,0.9168468725774206,74.48148148148148,24509,0
sex,male,0.4444444444444444,0.001120322652924042,0.9905970850963799,0.9127730954913673,84.28,24442,1
sex,male,0.5072463768115942,0.0015141393898908929,0.9829517778860205,0.9162722376366901,59.35294117647059,24508,2
sex,male,0.55,0.0012040133779264214,0.9847504621072088,0.9122371792264834,78.92592592592592,24589,3
sex,male,0.452991452991453,0.002862382038552708,0.9744824265767934,0.914552299885415,31.625,24436,4
