Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.43478260869565216,0.0023297491039426525,0.9785407725321889,0.9224280516043665,35.07692307692308,6046,0
race,African-American,0.7368421052631579,0.0008851124092759781,0.971830985915493,0.9205987634233648,96.6,6146,1
race,African-American,0.5333333333333333,0.001254255509765275,0.9851301115241635,0.9122405621833632,75.71428571428571,6119,2
race,African-American,0.4782608695652174,0.002146690518783542,0.9779559118236473,0.9178847101330267,40.666666666666664,6089,3
race,African-American,0.44,0.00248403122782115,0.9784735812133072,0.9163819749471287,35.714285714285715,6147,4
race,Caucasian,0.5,0.0017228177641653904,0.9808836023789295,0.9173280887827492,51.31111111111111,28474,0
race,Caucasian,0.46153846153846156,0.0016168148746968471,0.9850374064837906,0.9150195539583553,56.42857142857143,28383,1
race,Caucasian,0.5408163265306123,0.0017239397770371222,0.9771944922547332,0.9185281598480318,50.46666666666667,28427,2
race,Caucasian,0.5,0.002197378565921357,0.9768480909829407,0.9133159636645307,42.19298245614035,28402,3
race,Caucasian,0.48936170212765956,0.0018436011676140728,0.9804836656767076,0.9169161413024337,48.145833333333336,28393,4
race,Other,,0.0,1.0,0.9689922480620154,inf,774,0
race,Other,0.0,0.001336898395721925,1.0,0.9777486910994765,16.0,764,1
race,Other,,0.0,1.0,0.9759036144578314,inf,747,2
race,Other,0.0,0.0012787723785166241,1.0,0.9738154613466334,20.0,802,3
race,Other,,0.0,1.0,0.9667994687915007,inf,753,4
sex,female,0.5,0.001201321453598959,0.9849246231155779,0.9261937876680575,65.33333333333333,10785,0
sex,female,0.47058823529411764,0.000894721145243066,0.98989898989899,0.9269191779559488,87.11111111111111,10851,1
sex,female,0.5357142857142857,0.0013054830287206266,0.9818621523579202,0.9235048678720446,62.46153846153846,10785,2
sex,female,0.3333333333333333,0.0020228582987761707,0.9877600979192166,0.9227391629297459,40.35,10704,3
sex,female,0.3333333333333333,0.00179265013444876,0.9889705882352942,0.9240121580547113,44.833333333333336,10857,4
sex,male,0.48314606741573035,0.002047994301233249,0.97900390625,0.9163164551797299,43.58695652173913,24509,0
sex,male,0.5185185185185185,0.0017477033385615056,0.9802538787023978,0.9131004009491859,53.46153846153846,24442,1
sex,male,0.5411764705882353,0.0017368069472277889,0.9775937652216269,0.9165170556552962,51.46153846153846,24508,2
sex,male,0.5370370370370371,0.002229654403567447,0.9731977818853974,0.9123185164097767,42.12,24589,3
sex,male,0.5217391304347826,0.001967887651504987,0.9768897448242657,0.9151661483057784,46.11363636363637,24436,4
