Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.08758314855875832,0.886694200035913,0.008368200836820083,0.1827352406151811,0.0008100445524503848,6047,0
race,African-American,0.08446063128685397,0.9266280498507987,0.01016260162601626,0.1462271772499596,0.0009471490812653912,6189,1
race,African-American,0.08756911004102015,0.9013389711064129,0.012072434607645875,0.17025757330309413,0.0011727912431587178,6173,2
race,African-American,0.09113832853025937,0.9088616714697406,0.017475728155339806,0.1668040217570463,0.0017835909631391202,6067,3
race,African-American,0.09359430604982207,0.9191627571273908,0.005671077504725898,0.16043485422500411,0.0005889281507656066,6071,4
race,Caucasian,0.09638503572929802,0.823040698342203,0.03085376162299239,0.24275934702474986,0.003395822672931107,28485,0
race,Caucasian,0.09804161566707466,0.8532885595182955,0.016775777414075287,0.21882054176072235,0.001854616184918804,28352,1
race,Caucasian,0.096338872922654,0.835264677574591,0.021573604060913704,0.23261230106919792,0.0023506637168141595,28339,2
race,Caucasian,0.09497393117831074,0.8318190530956489,0.025256849315068493,0.23447450828612645,0.002719144621624113,28421,3
race,Caucasian,0.09698293627895474,0.8397792172946452,0.01671541997492687,0.22937293729372937,0.001825733716737414,28482,4
race,Other,0.04006410256410257,0.8149659863945579,0.07407407407407407,0.21128608923884515,0.00333889816360601,762,0
race,Other,0.027692307692307693,0.8622100954979536,0.05263157894736842,0.15824468085106383,0.0015822784810126582,752,1
race,Other,0.03458646616541353,0.8469656992084432,0.0,0.17797695262483995,0.0,781,2
race,Other,0.022590361445783132,0.8225602027883396,0.0625,0.19254658385093168,0.0015408320493066256,805,3
race,Other,0.025518341307814992,0.8462603878116344,0.1111111111111111,0.17162162162162162,0.0032733224222585926,740,4
sex,female,0.0845612491752804,0.8256471288307051,0.031486146095717885,0.23232508963868714,0.003003003003003003,10877,0
sex,female,0.08728713719610152,0.8569991954947708,0.016887816646562123,0.20764875150840062,0.0016428068528514432,10773,1
sex,female,0.08703604088219473,0.847413620930697,0.020581113801452784,0.21559040590405903,0.0020032995522036297,10840,2
sex,female,0.08674991711791358,0.8369455134697185,0.0236318407960199,0.2242929387525754,0.002299128751210068,10678,3
sex,female,0.08505572989936154,0.8438965964667132,0.011320754716981131,0.21731089328648048,0.0010644589000591367,10814,4
sex,male,0.0975786224194482,0.8374664279319606,0.02599903707270101,0.23155997870336242,0.002886311400930034,24417,0
sex,male,0.09694751957015146,0.8705903366973297,0.015522107243650047,0.20354812398042416,0.001692654903569963,24520,1
sex,male,0.09615934432478795,0.8469747711542756,0.019436345966958212,0.22267206477732793,0.002108814846056516,24453,2
sex,male,0.09521331945889698,0.8482174529975168,0.024236548715462918,0.22084095063985376,0.0026138324010664435,24615,3
sex,male,0.0991630618769983,0.8578400644756873,0.016783216783216783,0.21585849095142776,0.0018790124745550394,24479,4
