Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9624607243261121,inf,6047,0
race,African-American,,0.0,1.0,0.9604136370980773,inf,6189,1
race,African-American,,0.0,1.0,0.9633889518872509,inf,6173,2
race,African-American,,0.0,1.0,0.9564859073677271,inf,6067,3
race,African-American,,0.0,1.0,0.9617855378026684,inf,6071,4
race,Caucasian,,0.0,1.0,0.9765490609092505,inf,28485,0
race,Caucasian,,0.0,1.0,0.9741111738148984,inf,28352,1
race,Caucasian,,0.0,1.0,0.9757225025583118,inf,28339,2
race,Caucasian,,0.0,1.0,0.9748777312550578,inf,28421,3
race,Caucasian,,0.0,1.0,0.9746506565550173,inf,28482,4
race,Other,,0.0,1.0,0.9908136482939632,inf,762,0
race,Other,,0.0,1.0,0.9893617021276596,inf,752,1
race,Other,,0.0,1.0,0.9859154929577465,inf,781,2
race,Other,,0.0,1.0,0.991304347826087,inf,805,3
race,Other,,0.0,1.0,0.9864864864864865,inf,740,4
sex,female,,0.0,1.0,0.985290061597867,inf,10877,0
sex,female,,0.0,1.0,0.983477211547387,inf,10773,1
sex,female,,0.0,1.0,0.9831180811808118,inf,10840,2
sex,female,,0.0,1.0,0.9818318037085596,inf,10678,3
sex,female,,0.0,1.0,0.9836323284631033,inf,10814,4
sex,male,,0.0,1.0,0.9696113363640086,inf,24417,0
sex,male,,0.0,1.0,0.9670065252854813,inf,24520,1
sex,male,,0.0,1.0,0.9696560749192328,inf,24453,2
sex,male,,0.0,1.0,0.9678651228925452,inf,24615,3
sex,male,,0.0,1.0,0.9678499938722988,inf,24479,4
