Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.0380617035546613,0.9857388316151203,0.0,0.05126509012733587,0.0,6047,0
race,African-American,0.04,0.9851951547779273,0.004081632653061225,0.053643561156891256,0.00017076502732240437,6189,1
race,African-American,0.03757898237445959,0.9732638305027745,0.0,0.062368378422161024,0.0,6173,2
race,African-American,0.044298467239346474,0.9777701189040152,0.003787878787878788,0.06461183451458712,0.00017624250969333803,6067,3
race,African-American,0.03886748199028313,0.9825312553519439,0.0,0.055015648163399766,0.0,6071,4
race,Caucasian,0.02418709536626173,0.964482151202502,0.004491017964071856,0.058030542390731965,0.00011181930001118193,28485,0
race,Caucasian,0.02685375146541618,0.9618002751828517,0.0013623978201634877,0.06306433408577879,3.764635018634943e-05,28352,1
race,Caucasian,0.02542687453600594,0.9495135799790243,0.00436046511627907,0.0734323723490596,0.00011426394972386212,28339,2
race,Caucasian,0.02614115490375802,0.9586747031436099,0.0014005602240896359,0.06537419513739841,3.7647767487387995e-05,28421,3
race,Caucasian,0.02627263783114091,0.9626080691642651,0.0013850415512465374,0.06175830348992346,3.7422348626599806e-05,28482,4
race,Other,0.009628610729023384,0.9536423841059603,0.0,0.05511811023622047,0.0,762,0
race,Other,0.011299435028248588,0.9408602150537635,0.0,0.06914893617021277,0.0,752,1
race,Other,0.014945652173913044,0.9415584415584416,0.0,0.07170294494238157,0.0,781,2
race,Other,0.009138381201044387,0.9511278195488722,0.0,0.05714285714285714,0.0,805,3
race,Other,0.014164305949008499,0.9534246575342465,0.0,0.05945945945945946,0.0,740,4
sex,female,0.016072891072891074,0.8967994774657086,0.01875,0.1161165762618369,0.00031214233690562894,10877,0
sex,female,0.018363939899833055,0.887966021708353,0.011235955056179775,0.12652000371298616,0.00021258503401360543,10773,1
sex,female,0.01948684637869438,0.8498639391948953,0.01639344262295082,0.16420664206642066,0.0003312355084465055,10840,2
sex,female,0.020308863972921514,0.8834414345669592,0.010309278350515464,0.13242180183554972,0.00021593608291945585,10678,3
sex,female,0.018259155514057476,0.8896305349252609,0.005649717514124294,0.12483817273904198,0.00010567473317129874,10814,4
sex,male,0.03038866363599132,1.0,0.0,0.03038866363599132,0.0,24417,0
sex,male,0.03299347471451876,1.0,0.0,0.03299347471451876,0.0,24520,1
sex,male,0.030343925080767185,1.0,0.0,0.030343925080767185,0.0,24453,2
sex,male,0.03225411841461426,0.9961803223640027,0.0,0.035831809872029254,0.0,24615,3
sex,male,0.032150006127701296,1.0,0.0,0.032150006127701296,0.0,24479,4
