Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.07576014948190929,0.9717806751205572,0.004464285714285714,0.09988424011906731,0.0003675794890645102,6047,0
race,African-American,0.07466176716218473,0.9654932032066922,0.008869179600886918,0.10421715947649055,0.0007220216606498195,6189,1
race,African-American,0.0755,0.9702641245408431,0.006578947368421052,0.1009233759922242,0.0005408328826392645,6173,2
race,African-American,0.07162207924144938,0.9718185040765686,0.004705882352941176,0.09592879512114719,0.0003647638154295094,6067,3
race,African-American,0.08210597596072457,0.9709885386819485,0.004106776180698152,0.10657222862790315,0.00036886757654002215,6071,4
race,Caucasian,0.10628775198311623,0.9617056266885939,0.008486082824168364,0.13687905915394066,0.0010178738650706404,28485,0
race,Caucasian,0.11054428010423166,0.9572619188687443,0.007578253706754531,0.1443989841986456,0.0009490406436971322,28352,1
race,Caucasian,0.10945635946546262,0.9662979059660214,0.0075932651039947174,0.13617276544691062,0.0009404260538905017,28339,2
race,Caucasian,0.10705179573104101,0.9627695086988964,0.006423258958755916,0.13676506808345942,0.0007750356924332042,28421,3
race,Caucasian,0.11174858395761009,0.9569685039370078,0.007787151200519144,0.14574116986166702,0.0009873698934463324,28482,4
race,Other,0.03422619047619048,0.878213802435724,0.0,0.14829396325459318,0.0,762,0
race,Other,0.026986506746626688,0.8841961852861036,0.0,0.13696808510638298,0.0,752,1
race,Other,0.023977433004231313,0.9057591623036649,0.0,0.11395646606914213,0.0,781,2
race,Other,0.02406417112299465,0.9275730622617535,0.0,0.09316770186335403,0.0,805,3
race,Other,0.021212121212121213,0.8910344827586207,0.06666666666666667,0.12567567567567567,0.0015479876160990713,740,4
sex,female,0.0900154202004626,0.9504731226092209,0.009544008483563097,0.13110232600900984,0.0009531878839228976,10877,0
sex,female,0.09588772205319462,0.9415372035977105,0.012133468149646108,0.14378538939942448,0.0013026487190620929,10773,1
sex,female,0.10062463400351357,0.9407861153649821,0.013397129186602871,0.14861623616236164,0.001519262072707542,10840,2
sex,female,0.0918097106424718,0.9511042629686698,0.007423117709437964,0.13223450084285446,0.0007560211685927206,10678,3
sex,female,0.09338786639400136,0.9454656240479333,0.008273009307135471,0.13833918993896802,0.0008592910848549946,10814,4
sex,male,0.10378195647580815,0.9665496969420772,0.007275666936135812,0.13064668059139126,0.0008486963081710594,24417,0
sex,male,0.10543184885290148,0.9639627357418769,0.005964214711729622,0.13429853181076673,0.0007071468979822742,24520,1
sex,male,0.10219008609880464,0.976586652118567,0.004884004884004884,0.12104854210117368,0.0005586332107443788,24453,2
sex,male,0.10220382218876761,0.9689488649185359,0.005695687550854353,0.12723948811700184,0.0006521030322791001,24615,3
sex,male,0.10979165786248574,0.963544049034855,0.0072602216278181125,0.13869030597655133,0.0009019700925706148,24479,4
