Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.5465116279069767,0.01504049363671423,0.8906976744186047,0.8604035726099901,9.820512820512821,6046,0
race,African-American,0.5782312925170068,0.01181852840259245,0.9055555555555556,0.8573055645948584,13.14516129032258,6146,1
race,African-American,0.6054421768707483,0.01114955786236063,0.9029443838604144,0.8552050988723647,14.275862068965518,6119,2
race,African-American,0.5492957746478874,0.0123862976582156,0.9154013015184381,0.8508786336015766,13.1875,6089,3
race,African-American,0.5808383233532934,0.013438279900172777,0.896588486140725,0.8517976248576541,12.014285714285714,6147,4
race,Caucasian,0.5424242424242425,0.012340634194181105,0.9105447276361819,0.8614174334480579,12.066225165562914,28474,0
race,Caucasian,0.5384615384615384,0.01111385527290689,0.9229640498899486,0.8575203466863968,13.977777777777778,28383,1
race,Caucasian,0.5099540581929556,0.013079375459821794,0.9159303206261045,0.8611179512435361,11.3375,28427,2
race,Caucasian,0.5333333333333333,0.013463191062732742,0.9051702395964691,0.8620519681712555,10.908814589665653,28402,3
race,Caucasian,0.533724340175953,0.013019980347199476,0.908289241622575,0.861832141725073,11.336477987421384,28393,4
race,Other,0.5,0.0013605442176870747,0.9743589743589743,0.9496124031007752,38.0,774,0
race,Other,0.6666666666666666,0.0013966480446927375,0.9583333333333334,0.9384816753926701,46.0,764,1
race,Other,1.0,0.0,0.9411764705882353,0.9571619812583668,inf,747,2
race,Other,1.0,0.0,0.9411764705882353,0.9600997506234414,inf,802,3
race,Other,0.6666666666666666,0.00141643059490085,0.9574468085106383,0.9389110225763613,45.0,753,4
sex,female,0.49056603773584906,0.008544303797468355,0.9402298850574713,0.878720445062587,15.148148148148149,10785,0
sex,female,0.48,0.006829883366607124,0.9550224887556222,0.8766012349092249,19.6,10851,1
sex,female,0.5549132947976878,0.008120649651972157,0.9263238679969301,0.8809457579972183,15.675324675324676,10785,2
sex,female,0.4482758620689655,0.008472781190425757,0.9484944532488114,0.8806988041853513,14.9625,10704,3
sex,female,0.5324675324675324,0.007597340930674264,0.9405797101449276,0.873814129133278,18.02777777777778,10857,4
sex,male,0.5555555555555556,0.014345144168698896,0.8957174638487208,0.8563384879024032,10.736666666666666,24509,0
sex,male,0.5606557377049181,0.012922513139495636,0.9076424520658926,0.8515260616970788,12.541044776119403,24442,1
sex,male,0.5214626391096979,0.01440260299535863,0.9091160986422832,0.8538436428921169,10.90033222591362,24508,2
sex,male,0.5553977272727273,0.01495461060678452,0.8931402022410495,0.8543657733132701,10.440894568690096,24589,3
sex,male,0.5458452722063037,0.015195091554021666,0.8933967543368775,0.8563594696349648,10.072555205047319,24436,4
