Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.7717876633041177,inf,6047,0
race,African-American,,0.0,1.0,0.7707222491517208,inf,6189,1
race,African-American,,0.0,1.0,0.7660780819698688,inf,6173,2
race,African-American,,0.0,1.0,0.7614966210647767,inf,6067,3
race,African-American,,0.0,1.0,0.7570416735298963,inf,6071,4
race,Caucasian,,0.0,1.0,0.7735299280322977,inf,28485,0
race,Caucasian,,0.0,1.0,0.7686230248306998,inf,28352,1
race,Caucasian,,0.0,1.0,0.7674582730512721,inf,28339,2
race,Caucasian,,0.0,1.0,0.7725625417824847,inf,28421,3
race,Caucasian,,0.0,1.0,0.7682395899164385,inf,28482,4
race,Other,,0.0,1.0,0.9330708661417323,inf,762,0
race,Other,,0.0,1.0,0.9375,inf,752,1
race,Other,,0.0,1.0,0.9270166453265045,inf,781,2
race,Other,,0.0,1.0,0.9403726708074535,inf,805,3
race,Other,,0.0,1.0,0.9337837837837838,inf,740,4
sex,female,,0.0,1.0,0.7993012779258987,inf,10877,0
sex,female,,0.0,1.0,0.7893808595562981,inf,10773,1
sex,female,,0.0,1.0,0.7814575645756457,inf,10840,2
sex,female,,0.0,1.0,0.7954673159767747,inf,10678,3
sex,female,,0.0,1.0,0.7889772517107453,inf,10814,4
sex,male,,0.0,1.0,0.766597043043781,inf,24417,0
sex,male,,0.0,1.0,0.7652120717781403,inf,24520,1
sex,male,,0.0,1.0,0.7660000817895555,inf,24453,2
sex,male,,0.0,1.0,0.765386959171237,inf,24615,3
sex,male,,0.0,1.0,0.761305608889252,inf,24479,4
