Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6666666666666666,0.000168321831341525,0.9809523809523809,0.9827985444922263,103.0,6046,0
race,African-American,,0.0,1.0,0.9783599088838268,inf,6146,1
race,African-American,,0.0,1.0,0.9808792286321294,inf,6119,2
race,African-American,0.0,0.00033461602810774636,1.0,0.9812777139103301,56.0,6089,3
race,African-American,0.0,0.0006639004149377593,1.0,0.9795021961932651,30.5,6147,4
race,Caucasian,0.38461538461538464,0.0002862458852154,0.9904942965779467,0.981421647819063,65.125,28474,0
race,Caucasian,0.0,7.181586412438507e-05,1.0,0.98111545643519,267.0,28383,1
race,Caucasian,0.0,0.0002507702228272551,1.0,0.981707531572097,73.28571428571429,28427,2
race,Caucasian,0.0,0.0002870367048186287,1.0,0.9810224632068164,66.375,28402,3
race,Caucasian,0.07692307692307693,0.0004303234598006168,0.9980276134122288,0.9817560666361427,42.166666666666664,28393,4
race,Other,,0.0,1.0,0.9987080103359173,inf,774,0
race,Other,,0.0,1.0,0.9960732984293194,inf,764,1
race,Other,,0.0,1.0,0.9959839357429718,inf,747,2
race,Other,,0.0,,1.0,,802,3
race,Other,,0.0,1.0,0.9880478087649402,inf,753,4
sex,female,0.25,0.0002816636935499014,0.9925373134328358,0.9873898933704219,44.333333333333336,10785,0
sex,female,0.0,9.349289454001496e-05,1.0,0.9856234448437932,155.0,10851,1
sex,female,,0.0,1.0,0.9857209086694483,inf,10785,2
sex,female,0.0,0.0001890359168241966,1.0,0.9882286995515696,62.0,10704,3
sex,female,0.0,0.0002801643630930146,1.0,0.9859998157870499,49.666666666666664,10857,4
sex,male,0.5,0.00024988546915996835,0.9879518072289156,0.9796809335346199,82.0,24509,0
sex,male,0.0,4.1793789442888784e-05,1.0,0.9788887979707062,515.0,24442,1
sex,male,0.0,0.000291314661450747,1.0,0.9801697404929003,68.42857142857143,24508,2
sex,male,0.0,0.00033236393851267135,1.0,0.9785676522022042,64.875,24589,3
sex,male,0.07142857142857142,0.0005428654946339834,0.9979550102249489,0.9794974627598625,37.53846153846154,24436,4
