Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.02010906612133606,0.9698094113678529,0.0,0.04911526376715727,0.0,6047,0
race,African-American,0.01984126984126984,0.9767671774592189,0.0,0.04217159476490548,0.0,6189,1
race,African-American,0.019362376898681356,0.9699521215122998,0.0,0.04827474485663373,0.0,6173,2
race,African-American,0.017457627118644067,0.971998658618377,0.0,0.04450304928300643,0.0,6067,3
race,African-American,0.02234258632362898,0.9725543020710558,0.0,0.04859166529402075,0.0,6071,4
race,Caucasian,0.019211210306249293,0.9307904050334251,0.00390625,0.08586975601193611,7.681376502669278e-05,28485,0
race,Caucasian,0.02013222276173757,0.9432279869125948,0.0,0.07470372460496615,0.0,28352,1
race,Caucasian,0.019932432432432434,0.9389362390764915,0.0018796992481203006,0.07865485726384135,3.8300969014516064e-05,28339,2
race,Caucasian,0.020437459861735483,0.9301241122031709,0.003683241252302026,0.08757608810386686,7.713073659853452e-05,28421,3
race,Caucasian,0.018245004344048653,0.9283137479015608,0.004123711340206186,0.08742363598061934,7.695267410542516e-05,28482,4
race,Other,0.008670520231213872,0.9074074074074074,0.0,0.09973753280839895,0.0,762,0
race,Other,0.0028368794326241137,0.9373333333333334,0.0,0.06515957446808511,0.0,752,1
race,Other,0.006830601092896175,0.9368556701030928,0.0,0.06914212548015365,0.0,781,2
race,Other,0.002717391304347826,0.9140722291407223,0.0,0.08819875776397515,0.0,805,3
race,Other,0.0014858841010401188,0.9093369418132612,0.0,0.0918918918918919,0.0,740,4
sex,female,0.012545162585307105,0.9151706817970421,0.007936507936507936,0.09533878826882412,0.00010163634515702815,10877,0
sex,female,0.017181427694825117,0.9061763319189062,0.0,0.10795507286735356,0.0,10773,1
sex,female,0.015735323784547107,0.9133283414451516,0.0,0.09981549815498154,0.0,10840,2
sex,female,0.013649425287356323,0.9115136570561456,0.007462686567164179,0.09983142910657426,0.00010404744563520966,10678,3
sex,female,0.01331421548545678,0.9018910316420146,0.015151515151515152,0.10893286480488255,0.00020759809009757111,10814,4
sex,male,0.021993691396966684,0.9467519973229598,0.00196078431372549,0.07298193881312201,4.418132013784572e-05,24417,0
sex,male,0.020759642917298298,0.9678694801681442,0.0,0.051590538336052205,0.0,24520,1
sex,male,0.021152287944048786,0.9581315745533479,0.002012072434607646,0.061301271827587614,4.356728967890907e-05,24453,2
sex,male,0.02195779651585841,0.9480934401062197,0.0019455252918287938,0.07166361974405851,4.37636761487965e-05,24615,3
sex,male,0.020867325032202663,0.9504438794648439,0.0,0.06842599779402754,0.0,24479,4
