Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.654639175257732,0.012398223538119911,0.8021806853582555,0.9037380086007277,7.686567164179104,6046,0
race,African-American,0.6180904522613065,0.013815669878203964,0.8093023255813954,0.9027009437032216,6.868421052631579,6146,1
race,African-American,0.6354679802955665,0.013515981735159817,0.7996894409937888,0.9037424415754208,6.95945945945946,6119,2
race,African-American,0.5828220858895705,0.012413289521723256,0.8445171849427169,0.9040893414353752,7.588235294117647,6089,3
race,African-American,0.5555555555555556,0.01678525816456851,0.8273273273273273,0.8953961281926143,5.989130434782608,6147,4
race,Caucasian,0.5592592592592592,0.008942325756152546,0.8375470683162991,0.936960033714968,6.542016806722689,28474,0
race,Caucasian,0.5314285714285715,0.00926832944013262,0.8484519282998371,0.9362998978261635,6.349593495934959,28383,1
race,Caucasian,0.52465483234714,0.009070038764066087,0.8566810344827587,0.9355894044394414,6.597510373443983,28427,2
race,Caucasian,0.555793991416309,0.007797491241948243,0.8603773584905661,0.9365185550313359,7.7101449275362315,28402,3
race,Caucasian,0.5,0.009501904151427171,0.8653846153846154,0.9340682562603458,6.428571428571429,28393,4
race,Other,0.8333333333333334,0.0013333333333333333,0.7916666666666666,0.9741602067183462,19.0,774,0
race,Other,0.6,0.005361930294906166,0.6666666666666666,0.9790575916230366,3.0,764,1
race,Other,0.5,0.002777777777777778,0.9259259259259259,0.963855421686747,12.5,747,2
race,Other,0.0,0.001282051282051282,1.0,0.9713216957605985,22.0,802,3
race,Other,0.5714285714285714,0.004132231404958678,0.8518518518518519,0.9654714475431607,7.666666666666667,753,4
sex,female,0.528,0.005709309076833753,0.8536585365853658,0.9588317107093185,6.52542372881356,10785,0
sex,female,0.5538461538461539,0.005592517597145887,0.85,0.9570546493410745,7.0344827586206895,10851,1
sex,female,0.4782608695652174,0.006978096530335336,0.8586723768736617,0.9561427909133056,5.569444444444445,10785,2
sex,female,0.5045871559633027,0.005268806712850034,0.8791208791208791,0.9575859491778774,7.407407407407407,10704,3
sex,female,0.4896551724137931,0.0071545973121918205,0.8618677042801557,0.9523809523809523,5.986486486486487,10857,4
sex,male,0.5983739837398374,0.011009583240472477,0.8225650916104147,0.9203149863315516,6.906882591093117,24509,0
sex,male,0.5562913907284768,0.01195467927558212,0.83399209486166,0.9199738155633745,6.298507462686567,24442,1
sex,male,0.5746527777777778,0.010914112615823236,0.8393203883495146,0.9194548718785702,7.057142857142857,24508,2
sex,male,0.5738963531669866,0.009842170597623693,0.852926709296606,0.920452234739111,7.8108108108108105,24589,3
sex,male,0.5235602094240838,0.012195666741121287,0.8537298878595807,0.9171713864789655,6.413919413919414,24436,4
