Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.45454545454545453,0.0010976948408342481,0.9913941480206541,0.9037539275673888,96.0,6047,0
race,African-American,0.6,0.0010857763300760044,0.9864253393665159,0.8933591856519632,109.0,6189,1
race,African-American,,0.0,1.0,0.895026729305038,inf,6173,2
race,African-American,0.7333333333333333,0.0007401924500370096,0.9834087481146304,0.8918740728531399,163.0,6067,3
race,African-American,,0.0,1.0,0.8924394663152693,inf,6071,4
race,Caucasian,0.47368421052631576,0.00037440563106069113,0.9949324324324325,0.937616289275057,176.7,28485,0
race,Caucasian,0.6071428571428571,0.00041506301411214246,0.9908108108108108,0.9349604966139955,166.63636363636363,28352,1
race,Caucasian,,0.0,1.0,0.9348953738664032,inf,28339,2
race,Caucasian,0.7142857142857143,0.0002261079288513717,0.9920424403183024,0.9339924703564266,311.6666666666667,28421,3
race,Caucasian,,0.0,1.0,0.9323432343234324,inf,28482,4
race,Other,,0.0,1.0,0.9711286089238845,inf,762,0
race,Other,,0.0,1.0,0.9667553191489362,inf,752,1
race,Other,,0.0,1.0,0.9603072983354674,inf,781,2
race,Other,,0.0,1.0,0.9763975155279503,inf,805,3
race,Other,,0.0,1.0,0.9716216216216216,inf,740,4
sex,female,0.5,0.00019171779141104295,0.9955056179775281,0.9590879838190678,221.5,10877,0
sex,female,0.42857142857142855,0.00038774718883288094,0.9934354485776805,0.9574863083635013,113.5,10773,1
sex,female,,0.0,1.0,0.9538745387453874,inf,10840,2
sex,female,0.5714285714285714,0.0002938295788442703,0.9914529914529915,0.9562652182056565,154.66666666666666,10678,3
sex,female,,0.0,1.0,0.954041057887923,inf,10814,4
sex,male,0.46153846153846156,0.0006226927011519815,0.9937952430196484,0.9207109800548798,137.28571428571428,24417,0
sex,male,0.6388888888888888,0.000579348455813539,0.9889476213358962,0.9155383360522023,158.30769230769232,24520,1
sex,male,,0.0,1.0,0.9172289698605488,inf,24453,2
sex,male,0.7586206896551724,0.0003108900337537751,0.9895188184849929,0.9153361771277676,296.7142857142857,24615,3
sex,male,,0.0,1.0,0.9140487765023081,inf,24479,4
