Problem,Performance,Model,Time
General,0.67,L2-Logistic,Two Year
General,0.65,L1-Logistic,Two Year
General,0.67,LinearSVM,Two Year
General,0.656,RF,Two Year
General,0.656,XGBoost,Two Year
Violent,0.672,L2-Logistic,Two Year
Violent,0.663,L1-Logistic,Two Year
Violent,0.656,LinearSVM,Two Year
Violent,0.671,RF,Two Year
Violent,0.677,XGBoost,Two Year
Drug,0.712,L2-Logistic,Two Year
Drug,0.73,L1-Logistic,Two Year
Drug,0.693,LinearSVM,Two Year
Drug,0.705,RF,Two Year
Drug,0.72,XGBoost,Two Year
Property,0.721,L2-Logistic,Two Year
Property,0.724,L1-Logistic,Two Year
Property,0.683,LinearSVM,Two Year
Property,0.716,RF,Two Year
Property,0.731,XGBoost,Two Year
Felony,0.64,L2-Logistic,Two Year
Felony,0.644,L1-Logistic,Two Year
Felony,0.626,LinearSVM,Two Year
Felony,0.646,RF,Two Year
Felony,0.646,XGBoost,Two Year
Misdemeanor,0.632,L2-Logistic,Two Year
Misdemeanor,0.594,L1-Logistic,Two Year
Misdemeanor,0.629,LinearSVM,Two Year
Misdemeanor,0.627,RF,Two Year
Misdemeanor,0.622,XGBoost,Two Year
General,0.626,L2-Logistic,Six Month
General,0.609,L1-Logistic,Six Month
General,0.619,LinearSVM,Six Month
General,0.617,RF,Six Month
General,0.622,XGBoost,Six Month
Violent,0.672,L2-Logistic,Six Month
Violent,0.65,L1-Logistic,Six Month
Violent,0.611,LinearSVM,Six Month
Violent,0.668,RF,Six Month
Violent,0.681,XGBoost,Six Month
Drug,0.692,L2-Logistic,Six Month
Drug,0.695,L1-Logistic,Six Month
Drug,0.64,LinearSVM,Six Month
Drug,0.679,RF,Six Month
Drug,0.685,XGBoost,Six Month
Property,0.722,L2-Logistic,Six Month
Property,0.721,L1-Logistic,Six Month
Property,0.657,LinearSVM,Six Month
Property,0.689,RF,Six Month
Property,0.724,XGBoost,Six Month
Felony,0.608,L2-Logistic,Six Month
Felony,0.614,L1-Logistic,Six Month
Felony,0.579,LinearSVM,Six Month
Felony,0.589,RF,Six Month
Felony,0.582,XGBoost,Six Month
Misdemeanor,0.612,L2-Logistic,Six Month
Misdemeanor,0.582,L1-Logistic,Six Month
Misdemeanor,0.589,LinearSVM,Six Month
Misdemeanor,0.598,RF,Six Month
Misdemeanor,0.61,XGBoost,Six Month
